source,target,label,mt_system,lang
"The sometimes-violent protests were triggered by failure to hold elections, some due since 2011.","Maandamano hayo ambayo wakati mwingine huwa jeuri yalianzishwa na ukosefu wa kuwa na uchaguzi, ambapo mwingine ulichelewa tangu 2011.",0,human,swh
"The sometimes-violent protests were triggered by failure to hold elections, some due since 2011.","Maandamano ya wakati mwingine yenye jeuri yalianza kwa sababu ya kushindwa kufanya uchaguzi, baadhi yao ulipaswa kufanyika tangu 2011.",2,nllb,swh
"So, it is likely that the notation was added simply as a label.","Kwa hivyo, kuna uwezekano kuwa nukuu liliongezwa liwe kama ishara.",0,human,swh
"So, it is likely that the notation was added simply as a label.","So, it is likely that the notation was added simply as a label.",7,gemini_style,swh
"They include the Netherlands, with Anna Jochemsen finishing ninth in the women's standing class in the Super-G yesterday, and Finland with Katja Saarinen finishing tenth in the same event.","Ni pamoja na Uholanzi, huku Anna Jochemsen akimaliza wa tisa katika kitengo cha kusimama cha wanawake kwenye Super-G jana, na Ufini huku Katja Saarinen akimaliza wa kumi katika tukio hilo hilo.",0,human,swh
"They include the Netherlands, with Anna Jochemsen finishing ninth in the women's standing class in the Super-G yesterday, and Finland with Katja Saarinen finishing tenth in the same event.","Wao ni pamoja na Uholanzi, na Anna Jochemsen kumaliza tisa katika wanawake kusimama darasa katika Super-G jana, na Finland na Katja Saarinen kumaliza kumi katika tukio moja.",2,nllb,swh
"They include the Netherlands, with Anna Jochemsen finishing ninth in the women's standing class in the Super-G yesterday, and Finland with Katja Saarinen finishing tenth in the same event.","They include the Netherlands, with Anna Jochemsen finishing ninth in the women's standing class in the Super-G yesterday, and Finland with Katja Saarinen finishing tenth in the same event.",7,gemini_style,swh
"Some patients might have contracted the bug in the hospital, Dr. Moll thinks, and at least two were hospital health workers.","Huenda baadhi ya wagonjwa waliambukizwa mdudu huyo hospitalini, kama anavyofikiria Dkt. Moll, na angalau wawili walikuwa wafanyakazi hospitalini.",0,human,swh
"Some patients might have contracted the bug in the hospital, Dr. Moll thinks, and at least two were hospital health workers.","Dakt. Moll anafikiri kwamba baadhi ya wagonjwa wanaweza kuwa wameambukizwa virusi hivyo hospitalini, na angalau wawili walikuwa wafanyakazi wa afya wa hospitali hiyo.",2,nllb,swh
It was at this time that the transfer of the title of Fashion Capital from Constantinople to Paris was made.,Ilikuwa wakati huu ambapo uhamisho wa Jiji la Mtindo kutoka Konstantinopo hadi Parisi ulifanyika.,0,human,swh
It was at this time that the transfer of the title of Fashion Capital from Constantinople to Paris was made.,Ilikuwa wakati huu kwamba uhamisho wa cheo cha Fashion Capital kutoka Constantinople hadi Paris ulifanywa.,2,nllb,swh
It was at this time that the transfer of the title of Fashion Capital from Constantinople to Paris was made.,It was at this time that the transfer of the title of Fashion Capital from Constantinople to Paris was made.,7,gemini_style,swh
Rolando Mendoza fired his M16 rifle at the tourists.,Rolando Mendoza alifyatua bunduki yake ya M16 kwa watalii.,0,human,swh
Rolando Mendoza fired his M16 rifle at the tourists.,Rolando Mendoza aliwashambulia watalii hao kwa bunduki yake ya M16.,2,nllb,swh
Its all-pervading power affected everyone from king to commoner.,Nguvu zake zilizoenea kote ziliathiri wote toka mfalme hadi mtu wa kawaida.,0,human,swh
Infrared images show that the temperature variations from night and day show that they are likely caves.,Picha za miale isiyoonekana zinaonyesha kwamba utofauti wa joto kati ya usiku na mchana unaonyesha kwamba huenda ni mapango.,0,human,swh
Infrared images show that the temperature variations from night and day show that they are likely caves.,Infrared images show that the temperature variations from night and day show that they are likely caves.,7,gemini_style,swh
"If you have watched the movie National Treasure, you may think a treasure map was written on the back of the Declaration of Independence.","Iwapo umetazama sinema ya Hazina ya Kitaifa, huenda ukafikiri ramani ya hazina iliandikwa nyuma ya Tangazo la Uhuru.",0,human,swh
"If you have watched the movie National Treasure, you may think a treasure map was written on the back of the Declaration of Independence.","Ikiwa umetazama filamu ya Hazina ya Kitaifa, unaweza kufikiria kuwa ramani ya hazina iliandikwa nyuma ya Azimio la Uhuru.",1,google,swh
"If you have watched the movie National Treasure, you may think a treasure map was written on the back of the Declaration of Independence.","If you have watched the movie National Treasure, you may think a treasure map was written on the back of the Declaration of Independence.",5,gpt4_style,swh
"Since 1988, ballot boxes must be transparent so that voters and observers can witness that no envelopes are present at the start of the vote and that no envelopes are added except those of the duly counted and authorized voters.","Tangu 1988, ni lazima masanduku ya kura yawe maangavu ili wapigaji kura na wachunguzi waweze kushuhudia kwamba hakuna bahasha zinazoongezwa isipokuwa zile za wapigaji kura waliohesabiwa na kuidhinishwa.",0,human,swh
"Since 1988, ballot boxes must be transparent so that voters and observers can witness that no envelopes are present at the start of the vote and that no envelopes are added except those of the duly counted and authorized voters.","Tangu mwaka wa 1988, masanduku ya kura lazima yawe wazi ili wapigakura na waangalizi waweze kushuhudia kwamba hakuna bahasha yoyote iliyokuwepo mwanzoni mwa upigaji kura na kwamba hakuna bahasha zinazoongezwa isipokuwa zile za wapigakura waliohesabiwa na kuidhinishwa.",1,google,swh
"Since 1988, ballot boxes must be transparent so that voters and observers can witness that no envelopes are present at the start of the vote and that no envelopes are added except those of the duly counted and authorized voters.","Tangu 1988, masanduku ya kupiga kura yanapaswa kuwa wazi ili wapiga kura na watazamaji waweze kushuhudia kwamba hakuna bahasha zinazopatikana mwanzoni mwa kupiga kura na kwamba hakuna bahasha zinazoongezwa isipokuwa zile za wapiga kura waliohesabiwa vizuri na walioidhinishwa.",2,nllb,swh
"Since 1988, ballot boxes must be transparent so that voters and observers can witness that no envelopes are present at the start of the vote and that no envelopes are added except those of the duly counted and authorized voters.","Since 1988, ballot boxes must be transparent so that voters and observers can witness that no envelopes are present at the start of the vote and that no envelopes are added except those of the duly counted and authorized voters.",6,claude_style,swh
"Later reports then stated the plane received a bomb threat and was diverted back to Afghanistan, landing in Kandahar.","Kisha ripoti za baadaye zilisema ndege ilipokea tishio la bomu na ikaelekezwa tena Afganistani, na kutua Kandahar.",0,human,swh
"Later reports then stated the plane received a bomb threat and was diverted back to Afghanistan, landing in Kandahar.",Taarifa za baadaye zilieleza kuwa ndege hiyo ilipokea tishio la bomu na ikaelekezwa Afghanistan na kutua Kandahar.,1,google,swh
"Later reports then stated the plane received a bomb threat and was diverted back to Afghanistan, landing in Kandahar.","Ripoti za baadaye ziliripoti kuwa ndege hiyo ilipokea tishio la bomu na ikaelekezwa tena Afghanistan, ikashuka Kandahar.",2,nllb,swh
"Later reports then stated the plane received a bomb threat and was diverted back to Afghanistan, landing in Kandahar.","Later reports then stated the plane received a bomb threat and was diverted back to Afghanistan, landing in Kandahar.",7,gemini_style,swh
That didn't seem to make sense to me; it certainly wasn't fair.,Hilo halikuonekana kuwa na maana kwangu; hakika halikuwa la haki.,0,human,swh
That didn't seem to make sense to me; it certainly wasn't fair.,Hilo halikuonekana kuwa na maana kwangu; kwa hakika halikuwa sawa.,2,nllb,swh
Gothic style peaked in the period between the 10th - 11th centuries and the 14th century.,Staili ya Kigothi ilifikia kilele katika kipindi kati ya karne za 10-11 na karne ya 14.,0,human,swh
"One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.","Kinywaji kimoja cha kingamwili, ZMapp, hapo awali kilionyesha ahadi uwanjani, lakini tafiti rasmi zilionyesha kilikuwa na faida kidogo kuliko ilivyotafutwa katika kuzuia kifo.",0,human,swh
"One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.","Koktaili moja ya kinga, ZMapp, mwanzoni ilionyesha ahadi katika uwanja huo, lakini tafiti rasmi zilionyesha kwamba ilikuwa na faida ndogo kuliko iliyotarajiwa katika kuzuia kifo.",2,nllb,swh
"One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.","One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.",7,gemini_style,swh
"Looking decidedly rusty in the game against their southern sisters, South Africa however steadily improved as the tournament progressed.","Wakionekana hakika kudhoofika katika mchezo dhidi ya dada zao wa kusini, Afrika Kusini hata hivyo walitia fora jinsi mashindano yalivyoendelea.",0,human,swh
"Looking decidedly rusty in the game against their southern sisters, South Africa however steadily improved as the tournament progressed.","Looking decidedly rusty in the game against their southern sisters, South Africa but steadily improved as the tournament progressed.",6,claude_style,swh
"Although the water level will only rise a few feet after the flood, officials are hoping it will be enough to restore eroded sandbars downstream.","Ingawa kiwango cha maji kitaongezeka kwa futi chache tu baada ya mafuriko, maafisa wanatumai kwamba kitatosha kurejesha mafungu ya mchanga yaliyomomonyolewa katika sehemu ya chini ya mto.",0,human,swh
"Although the water level will only rise a few feet after the flood, officials are hoping it will be enough to restore eroded sandbars downstream.","Ingawa kiwango cha maji kitapanda futi chache baada ya mafuriko, maafisa wanatumai kuwa vitatosha kurejesha miamba ya mchanga iliyomomonyoka chini ya mto huo.",1,google,swh
"Although the water level will only rise a few feet after the flood, officials are hoping it will be enough to restore eroded sandbars downstream.","Ingawa kiwango cha maji kitaongezeka kwa futi chache tu baada ya mafuriko, maofisa wanatumaini kwamba kitatosha kurudisha miamba ya mchanga iliyoharibika chini ya mto.",2,nllb,swh
"Although the water level will only rise a few feet after the flood, officials are hoping it will be enough to restore eroded sandbars downstream.","Although the water level will only rise a few feet after the flood, officials are hoping it will be enough to restore eroded sandbars downstream.",6,claude_style,swh
"108 plates of Chhappan Bhog (in Hinduism, 56 different edible items, like, sweets, fruits, nuts, dishes etc. which are offered to deity) were served to Baba Shyam.","Sahani 108 za Chhappan Bhog (katika Uhindi, vyakula 56 vya aina tofauti tofauti, kama vile peremende, matunda, karanga, na kadhalika ambazo hutozwa kwa miungu) zilipeanwa kwa Baba Shyam.",0,human,swh
"108 plates of Chhappan Bhog (in Hinduism, 56 different edible items, like, sweets, fruits, nuts, dishes etc. which are offered to deity) were served to Baba Shyam.","Sahani 108 za Chhappan Bhog (katika Uhindu, bidhaa 56 tofauti za kula, kama vile, pipi, matunda, karanga, sahani nk) zilitolewa kwa Baba Shyam.",2,nllb,swh
Scientists say the explosion caused by the collision was massive.,Wanasayansi wanasema mlipuko uliosababishwa na mgongano huo ulikuwa mkubwa.,0,human,swh
Scientists say the explosion caused by the collision was massive.,Scientists say the explosion caused by the collision was massive.,7,gemini_style,swh
"It warns No one can guarantee that any course of action in Iraq at this point will stop sectarian warfare, growing violence, or a slide toward chaos.","Inatoa ilani kwamba hakuna yeyote anayeweza kutoa hakikisho kwamba mpango wowote wa hatua katika Iraki wakati huu utakomesha vita vya kimadhehebu, vurugu inayozidi, au mwelekeo kwenye machafuko.",0,human,swh
"It warns No one can guarantee that any course of action in Iraq at this point will stop sectarian warfare, growing violence, or a slide toward chaos.","Inaonya Hakuna mtu anayeweza kuhakikisha kwamba hatua yoyote nchini Iraq katika hatua hii itasimamisha vita vya kidini, kuongezeka kwa ghasia, au kuteleza kuelekea machafuko.",1,google,swh
"It warns No one can guarantee that any course of action in Iraq at this point will stop sectarian warfare, growing violence, or a slide toward chaos.","It warns No one can guarantee that any course of action in Iraq at this point will stop sectarian warfare, growing violence, or a slide toward chaos.",5,gpt4_style,swh
"Soon, officers equipped with riot gear entered the yard and cornered the inmates with tear gas.","Karibuni, maafisa walio na vyombo vya ghasia waliingia kwenye yadi na kuwazingira wafungwa kwa vitoa machozi.",0,human,swh
"Soon, officers equipped with riot gear entered the yard and cornered the inmates with tear gas.","Soon, officers equipped with riot gear entered the yard and cornered the inmates with tear gas.",7,gemini_style,swh
NextGen is a system the FAA claims would allow aircraft to fly shorter routes and save millions of gallons of fuel each year and cut carbon emissions.,NextGen ni mfumo ambao Utawala wa Shirikisho la Anga unadai ungeruhusu ndege kutumia njia fupi na kuokoa mamilioni ya galoni za mafuta kila mwaka na kukata uzalishaji wa kaboni.,0,human,swh
NextGen is a system the FAA claims would allow aircraft to fly shorter routes and save millions of gallons of fuel each year and cut carbon emissions.,NextGen ni mfumo ambao FAA inadai utawezesha ndege kuruka njia fupi na kuokoa mamilioni ya galoni ya mafuta kila mwaka na kupunguza uzalishaji wa kaboni.,2,nllb,swh
"In a partnership of NPWS and the Sporting Shooters Association of Australia (NSW) Inc, qualified volunteers were recruited, under the Sporting Shooters Association's hunting program.","Kwa kushirikiana na NPWS na Sporting Shooters Association of Australia (NSW) Inc, wajitoleaji waliohitimu waliandikishwa, chini ya mpango wa uwindaji wa Sporting Shooters Association.",0,human,swh
"In a partnership of NPWS and the Sporting Shooters Association of Australia (NSW) Inc, qualified volunteers were recruited, under the Sporting Shooters Association's hunting program.","Kwa ushirikiano wa NPWS na Chama cha Wapiga Risasi wa Michezo cha Australia (NSW) Inc, wafanyakazi wa kujitolea waliohitimu waliajiriwa, chini ya mpango wa uwindaji wa Sporting Shooters Association.",1,google,swh
"In a partnership of NPWS and the Sporting Shooters Association of Australia (NSW) Inc, qualified volunteers were recruited, under the Sporting Shooters Association's hunting program.","In a partnership of NPWS and also the Sporting Shooters Association of Australia (NSW) Inc, qualified volunteers were recruited, under the Sporting Shooters Association is hunting program.",5,gpt4_style,swh
"In a partnership of NPWS and the Sporting Shooters Association of Australia (NSW) Inc, qualified volunteers were recruited, under the Sporting Shooters Association's hunting program.","In a partnership of NPWS and the Sporting Shooters Association of Australia (NSW) Inc, qualified volunteers were recruited, under the Sporting Shooters Association's hunting program.",6,claude_style,swh
"Michael Schumacher ended his race not long after Alonso, because of the suspension damage in the numerous battles during the race.","Michael Schumacher alimaliza mbio zake muda mfupi baada ya Alonso, kwa sababu ya uharibifu wa mfumo wa kusimamisha gari, uliosababishwa na mapambano kadhaa wakati wa mbio hizo.",0,human,swh
"Michael Schumacher ended his race not long after Alonso, because of the suspension damage in the numerous battles during the race.","Michael Schumacher alimaliza mbio zake muda mfupi baada ya Alonso, kwa sababu ya uharibifu wa kusimamishwa katika vita vingi wakati wa mbio.",1,google,swh
"Michael Schumacher ended his race not long after Alonso, because of the suspension damage in the numerous battles during the race.","Michael Schumacher alimaliza mbio yake muda mfupi baada ya Alonso, kwa sababu ya uharibifu wa kusimamishwa katika mapigano mengi wakati wa mbio.",2,nllb,swh
"Michael Schumacher ended his race not long after Alonso, because of the suspension damage in the numerous battles during the race.","Michael Schumacher ended his race not long after Alonso, because of the suspension damage in the numerous battles during the race.",7,gemini_style,swh
"After the results came in, Gingrich lauded Santorum, but had tough words for Romney, on whose behalf negative campaign advertisements were aired in Iowa against Gingrich.","Baada ya matokeo kuingia, Gingrich alimpongeza Santorum, lakini alikuwa na maneno makali kwa Romney, ambaye matangazo hasi ya kampeni yalipeperushwa kwa niaba yake dhidi ya Gingrich.",0,human,swh
"After the results came in, Gingrich lauded Santorum, but had tough words for Romney, on whose behalf negative campaign advertisements were aired in Iowa against Gingrich.","Baada ya matokeo kufika, Gingrich alimsifu Santorum, lakini alikuwa na maneno magumu kwa Romney, ambaye kwa niaba yake matangazo mabaya ya kampeni yalionyeshwa katika Iowa dhidi ya Gingrich.",2,nllb,swh
Efforts to search for the crash site are being met by bad weather and harsh terrain.,Juhudi za kutafuta eneo la ajali zinapingwa na hali mbaya ya hewa na maeneo yenye mazingara magumu.,0,human,swh
"Air accidents are common in Iran, which has an aging fleet that is poorly maintained both for civil and military operations.","Ajali za hewani ni kawaida nchini Iran, ambayo ina ndege ambazo huhifadhiwa kihafifu kwa shughuli za kiraia na zile za kijeshi.",0,human,swh
"Air accidents are common in Iran, which has an aging fleet that is poorly maintained both for civil and military operations.","Air accidents are common in Iran, which has an aging fleet that is poorly maintained both for civil and also military operations.",5,gpt4_style,swh
"He did not set a figure for the cuts, saying they will be made based on China's economic output.","Hakuweka kiwango cha kukatwa, akisema itafanywa kulingana na pato la kiuchumi la China.",0,human,swh
"He did not set a figure for the cuts, saying they will be made based on China's economic output.","Hakuweka takwimu za mapungufu, akisema yatatekelezwa kulingana na pato la kiuchumi la China.",2,nllb,swh
"The disease is carried by pigs, which then migrates to humans through mosquitos.","Ugonjwa huo hubebwa na nguruwe, kisha huhamia kwa binadamu kupitia mbu.",0,human,swh
"The disease is carried by pigs, which then migrates to humans through mosquitos.","Magonjwa hayo huambukizwa na nguruwe, na kisha huambukizwa kwa wanadamu kupitia mbu.",2,nllb,swh
"Danielle Lantagne, a UN expert on the disease, stated the outbreak was likely caused by the peacekeepers.","Danielle Lantagne, mtaalamu wa UN kuhusu ugonjwa huo, alisema kuna uwezekano mkurupuko huo ulisababishwa na walinda amani.",0,human,swh
"Danielle Lantagne, a UN expert on the disease, stated the outbreak was likely caused by the peacekeepers.","Danielle Lantagne, mtaalam wa shirika la Umoja wa Mataifa juu ya ugonjwa huo, alisema kwamba huenda janga hilo lilitokana na vikosi vya kudumisha amani.",2,nllb,swh
"She is in custody pending indictment and trial, but any eyewitness evidence may be tainted because her image has been widely published.","Yuko korokoroni akisubiri mashtaka na kesi, lakini ushahidi wowote wa walioshuhudia huenda ukaathirika vibaya kwa sababu picha yake imechapishwa sana mahali kwingi.",0,human,swh
"She is in custody pending indictment and trial, but any eyewitness evidence may be tainted because her image has been widely published.","Yuko kizuizini akisubiri kufunguliwa mashitaka na kusikilizwa, lakini ushahidi wowote wa mtu aliyejionea unaweza kuchafuliwa kwa sababu picha yake imechapishwa kwa wingi.",1,google,swh
"She is in custody pending indictment and trial, but any eyewitness evidence may be tainted because her image has been widely published.","Yeye ni kizuizini kusubiri mashtaka na kesi, lakini ushahidi wowote wa mashahidi wa jicho inaweza kuchafuliwa kwa sababu picha yake imekuwa kuchapishwa sana.",2,nllb,swh
"She is in custody pending indictment and trial, but any eyewitness evidence may be tainted because her image has been widely published.","She is in custody pending indictment and trial, but any eyewitness evidence may be tainted because her image has been widely published.",6,claude_style,swh
"She is in custody pending indictment and trial, but any eyewitness evidence may be tainted because her image has been widely published.","She is in custody pending indictment and trial, but any eyewitness evidence may be tainted because her image has been widely published.",7,gemini_style,swh
"Despite there being no tsunami threat, residents started to panic and began to leave their businesses and homes.","Licha ya kutokuwa na tishio la tsunami, wakazi walianza kuwa na hofu na wakaanza kuacha biashara na nyumba zao.",0,human,swh
"Despite there being no tsunami threat, residents started to panic and began to leave their businesses and homes.","Ingawa hakukuwa na tishio la tsunami, wakazi walianza kuogopa na kuacha biashara na nyumba zao.",2,nllb,swh
"Despite there being no tsunami threat, residents started to panic and began to leave their businesses and homes.","Despite there being no tsunami threat, residents started to panic and began to leave their businesses and homes.",7,gemini_style,swh
"Five minutes into the display a wind starts rolling in, about a minute later, the wind is reaching 70km/h... then the rain comes, but so hard and so large that it slaps your skin like a needle, then hail fell from the sky, people panicking and screaming and running over each other.","Dakika tano ndani ya onyesho upepo unaanza kuingia, takriban dakika moja baadaye, upepo unafikia kilomita 70 kwa saa…kisha mvua inakuja, lakini kwa nguvu na kubwa sana kiasi kwamba inapiga ngozi yako kama sindano, kisha mvua ya mawe ikaanguka toka angani, watu wakapata wasiwasi na kupiga mayowe na kukanyangana.",0,human,swh
"Five minutes into the display a wind starts rolling in, about a minute later, the wind is reaching 70km/h... then the rain comes, but so hard and so large that it slaps your skin like a needle, then hail fell from the sky, people panicking and screaming and running over each other.","Five minutes into the display a wind starts rolling in, about a minute later, the wind is reaching 70km/h... then the rain comes, but so hard and so large that it slaps your skin like a needle, then hail fell from the sky, people panicking and screaming and running over each other.",6,claude_style,swh
"Final results from Namibian presidential and parliamentary elections have indicated that the incumbent president, Hifikepunye Pohamba, has been reelected by a large margin.","Matokeo ya mwisho ya uchaguzi wa rais na wabunge wa Namibia yameonyesha kwamba rais aliye mamlakani, Hifikepunye Pohamba, amechaguliwa tena kwa kiasi kikubwa.",0,human,swh
"Final results from Namibian presidential and parliamentary elections have indicated that the incumbent president, Hifikepunye Pohamba, has been reelected by a large margin.","Final results from Namibian presidential and also parliamentary elections have indicated that the incumbent president, Hifikepunye Pohamba, has been reelected by a large margin.",5,gpt4_style,swh
Under them are more medium sized cats that eat medium sized prey ranging from rabbits to antelopes and deer.,Chini yake kunao paka zaidi zenye mwili wa wastani ambao hula mawindo yenye mwili wa wastani kuanzia sungura hadi swara na kulungu.,0,human,swh
Under them are more medium sized cats that eat medium sized prey ranging from rabbits to antelopes and deer.,Chini yao kuna paka wa ukubwa wa kati zaidi ambao hula wanyama wa ukubwa wa kati kuanzia sungura hadi antelope na deer.,2,nllb,swh
